-25	4	-82
-25	3	-82
-25	2	-82
-25	1	-82
-25	0	-82
-25	-1	-82
-25	-2	-82
-25	-3	-82
-25	-4	-82
-24	13	-82
-24	12	-82
-24	11	-82
-24	10	-82
-24	9	-82
-24	8	-82
-24	7	-82
-24	6	-82
-24	5	-82
-24	4	-82
-24	3	-82
-24	2	-82
-24	1	-82
-24	0	-82
-24	-1	-82
-24	-2	-82
-24	-3	-82
-24	-4	-82
-24	-5	-82
-24	-6	-82
-24	-7	-82
-24	-8	-82
-24	-9	-82
-24	-10	-82
-24	-11	-82
-24	-12	-82
-24	-13	-82
-23	14	-82
-23	13	-82
-23	12	-82
-23	11	-82
-23	10	-82
-23	9	-82
-23	8	-82
-23	7	-82
-23	6	-82
-23	5	-82
-23	4	-82
-23	3	-82
-23	2	-82
-23	1	-82
-23	0	-82
-23	-1	-82
-23	-2	-82
-23	-3	-82
-23	-4	-82
-23	-5	-82
-23	-6	-82
-23	-7	-82
-23	-8	-82
-23	-9	-82
-23	-10	-82
-23	-11	-82
-23	-12	-82
-23	-13	-82
-23	-14	-82
-22	1	-82
-22	0	-82
-22	-1	-82
-22.542549	-11	-82
-25.12627	-3	-82
-22.016319	2	-82
-23.600334	15.919692	-82
-22.962633	14	-82
-24.07202	13	-82
-23	14.266844	-82
-25.069973	-4	-82
-25.187824	-1.297701	-82
-25.141415	-2.731015	-82
-25.165083	-2	-82
-25.041538	-4.505076	-82
-25	-4.998375	-82
-22.682573	-12	-82
-24.233572	12	-82
-22	1.559961	-82
-25.041538	4.505097	-82
-22.822601	13	-82
-25	4.998396	-82
-24.259912	11.836952	-82
-25.069975	4	-82
-23.115763	15	-82
-25.201544	0	-82
-25.201544	1e-05	-82
-23.748913	15	-82
-22.822601	-13	-82
-25.190971	-1	-82
-24	-13.445803	-82
-23.910467	-14	-82
-24.359192	11	-82
-22	-1.559864	-82
-24.999863	-5	-82
-24.259905	-11.837029	-82
-24.233576	-12	-82
-22.682571	12	-82
-24.072021	-13	-82
-22.962633	-14	-82
-23.600334	-15.919675	-82
-23.748911	-15	-82
-22.016323	-2	-82
-24	13.445791	-82
-23	-14.266847	-82
-23.097921	14.966137	-82
-25.126272	3	-82
-21.979235	1	-82
-25.187824	1.297722	-82
-25.141415	2.731036	-82
-25.190971	1	-82
-24.915657	-6	-82
-24.477808	10	-82
-25.165085	2	-82
-23.910465	14	-82
-22.542542	11	-82
-22.053408	-3	-82
-23.097921	-14.966119	-82
-23.115772	-15	-82
-21.942152	0	-82
-21.94215	1e-05	-82
-24.831453	-7	-82
-24.596424	9	-82
-22.402515	10	-82
-22.090492	-4	-82
-24.826063	-7.064002	-82
-21.979237	-1	-82
-24.71504	8	-82
-24.715038	-8	-82
-22.127577	-5	-82
-22.275925	9	-82
-22.280764	9.130491	-82
