30	100	-150
-20	100	-50
30	-100	-150
-20	-100	-50
430	100	-150
430	100	-50
430	-100	-150
430	-100	-50
30	0	-150
5	100	-100
-20	0	-50
5	-100	-100
230	-100	-150
205	-100	-50
430	-100	-100
430	0	-150
430	0	-50
430	100	-100
230	100	-150
205	100	-50
205	0	-50
230	0	-150
217.5	100	-100
430	0	-100
217.5	-100	-100
5	0	-100
30	50	-150
-7.5	100	-75
-20	-50	-50
17.5	-100	-125
130	-100	-150
317.5	-100	-50
430	-100	-125
430	-50	-150
430	50	-50
430	100	-125
330	100	-150
92.5	100	-50
30	-50	-150
17.5	100	-125
-20	50	-50
-7.5	-100	-75
330	-100	-150
92.5	-100	-50
430	-100	-75
430	50	-150
430	-50	-50
430	100	-75
130	100	-150
317.5	100	-50
205	50	-50
205	-50	-50
317.5	0	-50
92.5	0	-50
230	50	-150
230	-50	-150
130	0	-150
330	0	-150
111.25	100	-100
323.75	100	-100
223.75	100	-125
211.25	100	-75
430	50	-100
430	-50	-100
430	0	-125
430	0	-75
323.75	-100	-100
111.25	-100	-100
223.75	-100	-125
211.25	-100	-75
5	-50	-100
5	50	-100
17.5	0	-125
-7.5	0	-75
-7.5	50	-75
17.5	50	-125
17.5	-50	-125
101.875	-100	-75
120.625	-100	-125
326.875	-100	-125
430	-50	-75
430	-50	-125
430	50	-125
320.625	100	-75
326.875	100	-125
120.625	100	-125
330	-50	-150
130	-50	-150
130	50	-150
92.5	-50	-50
317.5	-50	-50
317.5	50	-50
92.5	50	-50
330	50	-150
101.875	100	-75
430	50	-75
320.625	-100	-75
-7.5	-50	-75
30	75	-150
-13.75	100	-62.5
-20	-75	-50
23.75	-100	-137.5
80	-100	-150
373.75	-100	-50
430	-100	-137.5
430	-75	-150
430	75	-50
430	100	-137.5
380	100	-150
36.25	100	-50
30	-25	-150
11.25	100	-112.5
-20	25	-50
-1.25	-100	-87.5
280	-100	-150
148.75	-100	-50
430	-100	-87.5
430	25	-150
430	-25	-50
430	100	-87.5
180	100	-150
261.25	100	-50
205	75	-50
205	-25	-50
373.75	0	-50
148.75	0	-50
230	75	-150
230	-25	-150
80	0	-150
280	0	-150
58.125	100	-100
270.625	100	-100
226.875	100	-137.5
214.375	100	-87.5
430	75	-100
430	-25	-100
430	0	-137.5
430	0	-87.5
376.875	-100	-100
164.375	-100	-100
226.875	-100	-137.5
214.375	-100	-87.5
5	-75	-100
5	25	-100
23.75	0	-137.5
-1.25	0	-87.5
30	25	-150
-1.25	100	-87.5
-20	-25	-50
11.25	-100	-112.5
180	-100	-150
261.25	-100	-50
430	-100	-112.5
430	-25	-150
430	25	-50
430	100	-112.5
280	100	-150
148.75	100	-50
30	-75	-150
23.75	100	-137.5
-20	75	-50
-13.75	-100	-62.5
380	-100	-150
36.25	-100	-50
430	-100	-62.5
430	75	-150
430	-75	-50
430	100	-62.5
80	100	-150
373.75	100	-50
205	25	-50
205	-75	-50
261.25	0	-50
36.25	0	-50
230	25	-150
230	-75	-150
180	0	-150
380	0	-150
164.375	100	-100
376.875	100	-100
220.625	100	-112.5
208.125	100	-62.5
430	25	-100
430	-75	-100
430	0	-112.5
430	0	-62.5
270.625	-100	-100
58.125	-100	-100
220.625	-100	-112.5
208.125	-100	-62.5
5	-25	-100
5	75	-100
11.25	0	-112.5
-13.75	0	-62.5
-7.5	25	-75
-7.5	75	-75
-1.25	50	-87.5
-13.75	50	-62.5
17.5	25	-125
17.5	75	-125
23.75	50	-137.5
11.25	50	-112.5
17.5	-75	-125
17.5	-25	-125
23.75	-50	-137.5
11.25	-50	-112.5
156.5625	-100	-75
47.1875	-100	-75
106.5625	-100	-87.5
97.1875	-100	-62.5
172.1875	-100	-125
69.0625	-100	-125
125.3125	-100	-137.5
115.9375	-100	-112.5
378.4375	-100	-125
275.3125	-100	-125
328.4375	-100	-137.5
325.3125	-100	-112.5
430	-25	-75
